OMIM	101000	NEUROFIBROMATOSIS, TYPE II	NOT	HP:0009737	OMIM:101000	IEA				P		HPO:skoehler[2010-06-18]	
OMIM	101805	ACROFACIAL DYSOSTOSIS, CATANIA TYPE	NOT	HP:0000175	OMIM:101805	TAS				P		HPO:nvasilevsky[2019-09-09]	
OMIM	101900	ACROKERATOSIS VERRUCIFORMIS	NOT	HP:0100792	OMIM:101900	TAS				P		HPO:skoehler[2014-06-24]	
OMIM	102500	#102500 HAJDU-CHENEY SYNDROME; HJCYS;;ACROOSTEOLYSIS WITH OSTEOPOROSIS AND CHANGES IN SKULL AND MANDIBLE;;CHENEY SYNDROME;;ARTHRODENTOOSTEODYSPLASIA;;SERPENTINE FIBULA-POLYCYSTIC KIDNEY SYNDROME; SFPKS	NOT	HP:0001249	OMIM:102500	TAS				P		HPO:skoehler[2014-11-26]	
OMIM	103500	TIETZ SYNDROME	NOT	HP:0001100	OMIM:103500	TAS				P		HPO:skoehler[2010-06-18]	
OMIM	104290	#104290 ALTERNATING HEMIPLEGIA OF CHILDHOOD 1; AHC1	NOT	HP:0002315	OMIM:104290	TAS				P		HPO:skoehler[2010-06-20]	
OMIM	104530	#104530 AMELOGENESIS IMPERFECTA, TYPE IA; AI1AAMELOGENESIS IMPERFECTA, HYPOPLASTIC TYPE IA	NOT	HP:0000951	OMIM:104530	TAS				P		HPO:skoehler[2015-02-22]	
OMIM	105120	AMYLOIDOSIS, FINNISH TYPE	NOT	HP:0012332	OMIM:105120	IEA				P		HPO:skoehler[2010-06-20]	
OMIM	105200	AMYLOIDOSIS, FAMILIAL VISCERAL	NOT	HP:0009830	OMIM:105200	TAS				P		HPO:probinson[2012-07-26]	
OMIM	105250	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1; PLCA1	NOT	HP:0009830	OMIM:105250	TAS				P		HPO:skoehler[2010-06-20]	
OMIM	105250	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1; PLCA1	NOT	HP:0012332	OMIM:105250	TAS				P		HPO:skoehler[2010-06-18]	
OMIM	106190	ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS; ANHD	NOT	HP:0001507	OMIM:106190	TAS				P		HPO:skoehler[2015-04-05]	
OMIM	106190	ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS; ANHD	NOT	HP:0001595	OMIM:106190	TAS				P		HPO:skoehler[2015-04-05]	
OMIM	106260	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE	NOT	HP:0001249	OMIM:106260	TAS				P		HPO:skoehler[2014-11-26]	
OMIM	106300	SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1	NOT	HP:0002923	OMIM:106300	TAS				P		HPO:probinson[2015-01-31]	
OMIM	108120	ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A	NOT	HP:0001249	OMIM:108120	TAS				P		HPO:skoehler[2014-11-26]	
OMIM	108145	#108145 ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5;;ARTHROGRYPOSIS WITH OCULOMOTOR LIMITATION AND ELECTRORETINAL ABNORMALITIES;;OCULOMELIC AMYOPLASIA;;ARTHROGRYPOSIS, DISTAL, TYPE IIB; DAIIB	NOT	HP:0001249	OMIM:108145	TAS				P		HPO:skoehler[2014-11-26]	
OMIM	108450	108450 ASYMMETRIC SHORT STATURE SYNDROME	NOT	HP:0001249	OMIM:108450	TAS				P		HPO:skoehler[2014-11-26]	
OMIM	109160	%109160 AZOTEMIA, FAMILIAL	NOT	HP:0012211	OMIM:109160	TAS				P		HPO:skoehler[2014-11-27]	
OMIM	109740	109740 BIFID NOSE, AUTOSOMAL DOMINANT	NOT	HP:0000316	OMIM:109740	IEA				P		HPO:skoehler[2010-06-18]	
OMIM	109740	109740 BIFID NOSE, AUTOSOMAL DOMINANT	NOT	HP:0000316	OMIM:109740	TAS				P		HPO:skoehler[2013-05-30]	
OMIM	112240	COLE-CARPENTER SYNDROME 1; CLCRP1	NOT	HP:0001263	OMIM:112240	TAS				P		HPO:skoehler[2015-01-04]	
OMIM	112300	BOOK SYNDROME	NOT	HP:0001597	OMIM:112300	TAS				P		HPO:probinson[2009-02-17]	
OMIM	112700	BRACHYDACTYLY, TYPE A3	NOT	HP:0001507	OMIM:112700	TAS				P		HPO:probinson[2009-02-17]	
OMIM	112800	BRACHYDACTYLY, TYPE A4	NOT	HP:0001507	OMIM:112800	TAS				P		HPO:probinson[2009-02-17]	
